Transect,Date,Lat,Lon,GPS_UTM_E,GPS_UTM_N,RTK_name,RTK_N,RTK_E,RTK_elevation,RTK_Lon,RTK_Lat,v.precision,Density_shoots,Height_1,Height_2,Height_3,Height_4,Height_5,Height_6,biomass1,biomass2,biomass3,biomass4,biomass5,biomass6,biomass_total,Crab Burrows,Snails,Mussels,Sed_Eh,Sed_pH,Sed_Temp,Additional_Info
2021rep2d,7/21/2021,32.7964,-79.98481,NA,NA,2021rep2d,3629172.293,595053.937,0.453,32.7964,-79.98481,0.017,6,4,74,32,68,40,NA,0.0624,4.7804,1.1264,4.1072,1.632,NA,56.20032,0,0,present,NA,NA,NA,
2021rep2e,7/21/2021,32.79644,-79.98478,NA,NA,2021rep2e,3629176.293,595057.101,0.455,32.79644,-79.98478,0.017,23,23.5,28.5,48.5,7,5.5,NA,0.687375,0.933375,2.267375,0.1239,0.091575,NA,75.50624,0,0,present,NA,NA,NA,
2021rep2f,7/21/2021,32.79644,-79.98479,NA,NA,2021rep2f,3629177.114,595056.235,0.486,32.79644,-79.98479,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep2g,7/21/2021,32.79646,-79.9848,NA,NA,2021rep2g,3629179.141,595054.704,0.459,32.79646,-79.9848,0.017,10,14,34.5,10,57,31,NA,0.3164,1.274775,0.198,3.0039,1.0695,NA,46.9006,1,0,absent,NA,NA,NA,
2021rep2h,7/21/2021,32.79647,-79.98482,NA,NA,2021rep2h,3629180.415,595053.013,0.438,32.79647,-79.98482,0.019,6,34.5,34.5,40,70,44.75,NA,1.274775,1.274775,1.632,4.326,1.97459375,NA,50.31429,0,0,present,NA,NA,NA,
2021rep2i,7/21/2021,32.79649,-79.98482,NA,NA,2021rep2i,3629182.287,595052.79,0.476,32.79649,-79.98482,0.021,9,70,39,52,17,65,NA,4.326,1.5639,2.5584,0.4199,3.7895,NA,91.13544,33,3,present,NA,NA,NA,
2021rep2j,7/21/2021,32.79653,-79.98477,NA,NA,2021rep2j,3629187.052,595057.952,0.491,32.79653,-79.98477,0.02,20,73,44,10,32,7,NA,4.6647,1.9184,0.198,1.1264,0.1239,NA,128.5024,12,2,present,NA,NA,NA,
2021rep2k,7/21/2021,32.79652,-79.98476,NA,NA,2021rep2k,3629186.119,595058.98,0.474,32.79652,-79.98476,0.021,20,24,58.5,23,64,10.5,NA,0.7104,3.144375,0.6647,3.6864,0.211575,NA,134.6792,3,0,absent,NA,NA,NA,
2021rep2l,7/21/2021,32.79651,-79.98474,NA,NA,2021rep2l,3629184.424,595060.59,0.478,32.79651,-79.98474,0.017,17,56,7,24,35,26.5,NA,2.912,0.1239,0.7104,1.3055,0.830775,NA,80.00302,10,0,present,NA,NA,NA,
2021rep2m,7/21/2021,32.7965,-79.98473,NA,NA,2021rep2m,3629183.716,595061.351,0.45,32.7965,-79.98473,0.017,9,55.5,31,17,65,30,NA,2.866575,1.0695,0.4199,3.7895,1.014,NA,65.94822,13,0,present,NA,NA,NA,
2021rep3a,7/21/2021,32.7963,-79.98495,NA,NA,2021rep3a,3629161.412,595041.538,0.499,32.7963,-79.98495,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3b,7/21/2021,32.79631,-79.98496,NA,NA,2021rep3b,3629162.374,595039.755,0.517,32.79631,-79.98496,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3c,7/21/2021,32.79632,-79.98498,NA,NA,2021rep3c,3629163.252,595038.085,0.526,32.79632,-79.98498,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3d,7/21/2021,32.79634,-79.98501,NA,NA,2021rep3d,3629165.177,595035.384,0.529,32.79634,-79.98501,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3e,7/21/2021,32.79635,-79.98504,NA,NA,2021rep3e,3629167.153,595033.022,0.514,32.79635,-79.98504,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3f,7/21/2021,32.7964,-79.98498,NA,NA,2021rep3f,3629172.125,595037.814,0.507,32.7964,-79.98498,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3g,7/21/2021,32.79638,-79.98497,NA,NA,2021rep3g,3629170.418,595039.453,0.52,32.79638,-79.98497,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3h,7/21/2021,32.79637,-79.98494,NA,NA,2021rep3h,3629168.782,595041.8,0.511,32.79637,-79.98494,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3i,7/21/2021,32.79636,-79.98492,NA,NA,2021rep3i,3629167.894,595043.584,0.494,32.79636,-79.98492,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3j,7/21/2021,32.79636,-79.98491,NA,NA,2021rep3j,3629167.498,595045.226,0.48,32.79636,-79.98491,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3k,7/21/2021,32.79639,-79.98487,NA,NA,2021rep3k,3629171.537,595048.376,0.475,32.79639,-79.98487,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3l,7/21/2021,32.7964,-79.98489,NA,NA,2021rep3l,3629172.453,595046.66,0.482,32.7964,-79.98489,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3m,7/21/2021,32.79641,-79.9849,NA,NA,2021rep3m,3629173.536,595045.478,0.485,32.79641,-79.9849,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3n,7/21/2021,32.79642,-79.98492,NA,NA,2021rep3n,3629174.557,595043.421,0.499,32.79642,-79.98492,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep3o,7/21/2021,32.79644,-79.98494,NA,NA,2021rep3o,3629176.49,595041.476,0.515,32.79644,-79.98494,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
oldtown1b,7/22/2021,32.80241,-79.98931,NA,NA,oldtown1b,3629834.853,594626.353,0.135,32.80241,-79.98931,0.062,32,182,158,160,135,178,NA,25.5164,19.4972,19.968,14.4855,24.4572,NA,2660.46208,7,3,absent,NA,NA,NA,
oldtown1c,7/22/2021,32.8024,-79.98936,NA,NA,oldtown1c,3629833.624,594621.296,0.91,32.8024,-79.98936,0.028,37,84,82,79,88,86.5,NA,6.0144,5.7564,5.3799,6.5472,6.344775,NA,889.26318,100,84,absent,NA,NA,NA,
oldtown1d,7/22/2021,32.80253,-79.9894,NA,NA,oldtown1d,3629848.084,594617.67,0.689,32.80253,-79.9894,0.048,45,82,56.5,52,83,91,NA,5.7564,2.957775,2.5584,5.8847,6.9615,NA,868.2759,0,32,absent,NA,NA,NA,
orange1a,7/22/2021,32.80972,-79.97812,NA,NA,orange1a,3630654.605,595666.444,-0.13,32.80972,-79.97812,0.024,36,210,66,157.5,152,201,NA,33.558,3.894,19.380375,18.1184,30.8535,NA,3047.16312,4,0,absent,NA,NA,NA,
orange1b,7/22/2021,32.80975,-79.97812,NA,NA,orange1b,3630658.741,595666.215,0.551,32.80975,-79.97812,0.017,31,77,128,148,131,38,NA,5.1359,13.1072,17.2272,13.6895,1.4972,NA,1256.2936,22,5,absent,NA,NA,NA,
orange1c,7/22/2021,32.80975,-79.97818,NA,NA,orange1c,3630658.674,595660.464,0.687,32.80975,-79.97818,0.017,34,85,100,105,87,86.5,NA,6.1455,8.28,9.0615,6.4119,6.344775,NA,985.82796,95,5,absent,NA,NA,NA,
orange1d,7/22/2021,32.80993,-79.97841,NA,NA,orange1d,3630678.48,595639.103,0.57,32.80993,-79.97841,0.016,31,101,28,96,72,98,NA,8.4335,0.9072,7.68,4.5504,7.9772,NA,732.79784,NA,13,absent,NA,NA,NA,
ashley2a,7/23/2021,32.82971,-79.97718,NA,NA,ashley2a,3632871.585,595732.883,0.388,32.82971,-79.97718,0.017,25,132,89,147.5,91,65,NA,13.8864,6.6839,17.117375,6.9615,3.7895,NA,968.7735,34,5,absent,NA,NA,NA,
ashley2b,7/23/2021,32.82968,-79.97723,NA,NA,ashley2b,3632868.521,595728.3,0.411,32.82968,-79.97723,0.018,33,89,59,104,96,40,NA,6.6839,3.1919,8.9024,7.68,1.632,NA,741.58128,0,19,present,NA,NA,NA,
ashley2c,7/23/2021,32.82964,-79.97752,NA,NA,ashley2c,3632863.647,595700.874,0.416,32.82964,-79.97752,0.019,26,109,83,48,74,73,NA,9.7119,5.8847,2.2272,4.7804,4.6647,NA,567.19312,1,22,absent,NA,NA,NA,
ashley2d,7/23/2021,32.82977,-79.9781,NA,NA,ashley2d,3632878.111,595646.882,0.505,32.82977,-79.9781,0.02,73,57,52,16,55,40,NA,3.0039,2.5584,0.384,2.8215,1.632,NA,607.34832,NA,48,absent,NA,NA,NA,
ashley2e,7/23/2021,32.82952,-79.97837,NA,NA,ashley2e,3632849.871,595621.65,0.545,32.82952,-79.97837,0.02,75,31,67.5,57,50,20,37,1.0695,4.053375,3.0039,2.39,0.536,1.4319,663.1665,NA,16,absent,NA,NA,NA,
ashley2f,7/23/2021,32.82914,-79.97841,NA,NA,ashley2f,3632807.755,595618.021,0.218,32.82914,-79.97841,0.021,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,
ashley2g,7/23/2021,32.82932,-79.9784,NA,NA,ashley2g,3632827.314,595619.108,0.494,32.82932,-79.9784,0.022,66,31,65,45,53,22,NA,1.0695,3.7895,1.9935,2.6447,0.6204,NA,534.20928,NA,5,absent,NA,NA,NA,
orange5a,7/23/2021,32.81297,-79.98001,NA,NA,orange5a,3631013.645,595485.665,0.331,32.81297,-79.98001,0.021,24,170,107,188,177.5,167,NA,22.406,9.3839,27.1472,24.326375,21.6599,NA,2014.5288,3,49,absent,NA,NA,NA,
orange5b,7/23/2021,32.81295,-79.98011,NA,NA,orange5b,3631011.605,595476.049,0.773,32.81295,-79.98011,0.021,25,94,57,90,104.5,99,NA,7.3884,3.0039,6.822,8.981775,8.1279,NA,686.4795,36,48,absent,NA,NA,NA,
orange5c,7/23/2021,32.81274,-79.98048,NA,NA,orange5c,3630988.216,595441.893,0.625,32.81274,-79.98048,0.02,51,12.5,58,66.5,14,48,NA,0.269375,3.0972,3.946775,0.3164,2.2272,NA,402.16356,NA,35,absent,NA,NA,NA,
orange5d,7/23/2021,32.81248,-79.98053,NA,NA,orange5d,3630959.381,595437.849,0.551,32.81248,-79.98053,0.02,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange5e,7/23/2021,32.81247,-79.98091,NA,NA,orange5e,3630957.225,595401.959,0.53,32.81247,-79.98091,0.019,33,66,74,56,21,58,NA,3.894,4.7804,2.912,0.5775,3.0972,NA,402.89304,NA,15,present,NA,NA,NA,
orange5f,7/23/2021,32.81225,-79.98086,NA,NA,orange5f,3630932.728,595406.865,0.461,32.81225,-79.98086,0.019,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange5g,7/23/2021,32.81224,-79.98083,NA,NA,orange5g,3630932.536,595410.052,0.428,32.81224,-79.98083,0.019,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange5h,7/23/2021,32.81222,-79.98013,NA,NA,orange5h,3630929.922,595474.991,0.518,32.81222,-79.98013,0.019,50,63,109,90.5,28.5,100,NA,3.5847,9.7119,6.891575,0.933375,8.28,NA,1176.062,NA,6,absent,NA,NA,NA,
orange5i,7/23/2021,32.81197,-79.98026,NA,NA,orange5i,3630902.601,595463.083,0.44,32.81197,-79.98026,0.024,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange5j,7/23/2021,32.81193,-79.98028,NA,NA,orange5j,3630898.379,595461.949,0.43,32.81193,-79.98028,0.027,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange5k,7/23/2021,32.8119,-79.9803,NA,NA,orange5k,3630894.416,595459.89,0.445,32.8119,-79.9803,0.025,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange3a,7/23/2021,32.81644,-79.97552,NA,NA,orange3a,3631402.312,595901.998,0.517,32.81644,-79.97552,0.017,22,141,155,150,128,175,NA,15.7215,18.8015,17.67,13.1072,23.6775,NA,1566.00752,8,1,absent,NA,NA,NA,
orange3b,7/23/2021,32.81638,-79.97553,NA,NA,orange3b,3631396.256,595901.755,0.811,32.81638,-79.97553,0.017,41,82.5,64,88,89,104,65,5.820375,3.6864,6.5472,6.6839,8.9024,3.7895,1037.80102,NA,7,absent,NA,NA,NA,
orange3c,7/23/2021,32.81621,-79.97551,NA,NA,orange3c,3631376.72,595903.976,0.558,32.81621,-79.97551,0.018,58,86,89,92,10,9,NA,6.278,6.6839,7.1024,0.198,0.1719,NA,948.14688,NA,10,absent,NA,NA,NA,
orange3d,7/23/2021,32.81577,-79.97565,NA,NA,orange3d,3631328.135,595890.566,0.786,32.81577,-79.97565,0.019,34,7,65.5,48,65,70,NA,0.1239,3.841575,2.2272,3.7895,4.326,NA,389.18236,7,23,absent,NA,NA,NA,
orange3e,7/23/2021,32.81554,-79.97554,NA,NA,orange3e,3631302.406,595901.54,0.579,32.81554,-79.97554,0.019,56,16,92,53,9,65,NA,0.384,7.1024,2.6447,0.1719,3.7895,NA,631.344,NA,14,absent,NA,NA,NA,
orange3f,7/23/2021,32.81451,-79.97496,NA,NA,orange3f,3631188.485,595957.179,0.525,32.81451,-79.97496,0.018,50,69,47,12.5,58.5,83.5,NA,4.2159,2.1479,0.269375,3.144375,5.949375,NA,629.077,NA,19,absent,NA,NA,NA,
orange3g,7/23/2021,32.81441,-79.97485,NA,NA,orange3g,3631178.345,595967.501,0.435,32.81441,-79.97485,0.018,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange3h,7/23/2021,32.81438,-79.97482,NA,NA,orange3h,3631175.043,595970.214,0.435,32.81438,-79.97482,0.022,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
orange3i,7/23/2021,32.81437,-79.97478,NA,NA,orange3i,3631173.606,595974.224,0.414,32.81437,-79.97478,0.023,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown6a,7/26/2021,32.80199,-79.98061,NA,NA,2oldtown6a,3629796.184,595441.117,0.11,32.80199,-79.98061,0.029,26,201,174,49,194,130,NA,30.8535,23.4204,2.3079,28.8284,13.494,NA,2057.20736,NA,0,absent,NA,NA,NA,
2oldtown6b,7/26/2021,32.80211,-79.98071,NA,NA,2oldtown6b,3629809.183,595431.981,0.805,32.80211,-79.98071,0.025,29,97,111,81.5,84,80,NA,7.8279,10.0455,5.692775,6.0144,5.504,NA,813.96214,34,7,absent,NA,NA,NA,
2oldtown6c,7/26/2021,32.80234,-79.98071,NA,NA,2oldtown6c,3629834.028,595431.48,0.669,32.80234,-79.98071,0.027,24,91,56,16,43,54.5,NA,6.9615,2.912,0.384,1.8447,2.776775,NA,285.67632,NA,10,absent,NA,NA,NA,
2oldtown6d,7/26/2021,32.80259,-79.98049,NA,NA,2oldtown6d,3629863.033,595451.563,0.605,32.80259,-79.98049,0.026,29,109,85,69,44,83,NA,9.7119,6.1455,4.2159,1.9184,5.8847,NA,646.73248,13,7,present,NA,NA,NA,
2oldtown6e,7/26/2021,32.80291,-79.98008,NA,NA,2oldtown6e,3629898.287,595490.107,0.443,32.80291,-79.98008,0.026,23,89,87,59,25,85,NA,6.6839,6.4119,3.1919,0.7575,6.1455,NA,426.70888,NA,4,absent,NA,NA,NA,
2oldtown6f,7/26/2021,32.80296,-79.98034,NA,NA,2oldtown6f,3629903.717,595465.577,0.353,32.80296,-79.98034,0.026,28,8,115,100,74,57,NA,0.1472,10.7295,8.28,4.7804,3.0039,NA,603.4784,60,0,absent,NA,NA,NA,
2oldtown6g,7/26/2021,32.80294,-79.98052,NA,NA,2oldtown6g,3629901.079,595448.424,0.243,32.80294,-79.98052,0.028,16,147,145,117,127,136,NA,17.0079,16.5735,11.0799,12.9159,14.688,NA,924.99456,30,0,absent,NA,NA,NA,
2oldtown7a,7/26/2021,32.79913,-79.9842,NA,NA,2oldtown7a,3629476.063,595108.706,0.058,32.79913,-79.9842,0.034,22,167,187,67,189,188,NA,21.6599,26.8719,3.9999,27.4239,27.1472,NA,1885.00928,8,0,absent,NA,NA,NA,
2oldtown7b,7/26/2021,32.79917,-79.9843,NA,NA,2oldtown7b,3629479.935,595098.787,0.905,32.79917,-79.9843,0.034,30,96,90,80,77,73,NA,7.68,6.822,5.504,5.1359,4.6647,NA,715.3584,55,16,absent,NA,NA,NA,
2oldtown7c,7/26/2021,32.79936,-79.98458,NA,NA,2oldtown7c,3629501.104,595072.138,0.676,32.79936,-79.98458,0.032,36,54,33,11,44,45,NA,2.7324,1.1847,0.2255,1.9184,1.9935,NA,231.9696,0,35,absent,NA,NA,NA,
2oldtown7d,7/26/2021,32.79981,-79.98497,NA,NA,2oldtown7d,3629550.156,595035.452,0.561,32.79981,-79.98497,0.03,28,59,29,74,16,36,NA,3.1919,0.9599,4.7804,0.384,1.368,NA,239.32608,0,36,absent,NA,NA,NA,
2oldtown7e,7/26/2021,32.79985,-79.98508,NA,NA,2oldtown7e,3629554.565,595025.13,0.518,32.79985,-79.98508,0.039,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7f,7/26/2021,32.79989,-79.9851,NA,NA,2oldtown7f,3629558.648,595023.155,0.502,32.79989,-79.9851,0.038,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7g,7/26/2021,32.80022,-79.98493,NA,NA,2oldtown7g,3629595.576,595039.158,0.551,32.80022,-79.98493,0.024,46,36,11,24,38,40,18,1.368,0.2255,0.7104,1.4972,1.632,0.4572,199.93808,3,35,present,NA,NA,NA,
2oldtown7h,7/26/2021,32.8002,-79.98505,NA,NA,2oldtown7h,3629593.499,595027.137,0.494,32.8002,-79.98505,0.023,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7i,7/26/2021,32.80021,-79.9851,NA,NA,2oldtown7i,3629594.442,595023.271,0.48,32.80021,-79.9851,0.023,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7j,7/26/2021,32.80021,-79.98514,NA,NA,2oldtown7j,3629594.255,595018.773,0.468,32.80021,-79.98514,0.023,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7k,7/26/2021,32.80021,-79.98517,NA,NA,2oldtown7k,3629594.676,595015.979,0.455,32.80021,-79.98517,0.023,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,absent,NA,NA,NA,
2oldtown7l,7/26/2021,32.80034,-79.98504,NA,NA,2oldtown7l,3629608.987,595028.561,0.561,32.80034,-79.98504,0.022,33,86,22,40,47,15,NA,6.278,0.6204,1.632,2.1479,0.3495,NA,291.13392,2,23,present,NA,NA,NA,
